status
Statement executed successfully.

status
Statement executed successfully.

ATTACHMENT_SOURCE,TRANSACTION_ID,PAYOFF_LOAN_ID,PAYOFFUID,LOANID,LOAN_TRANSACTION_DATE,APPLY_DATE,REVERSAL_DATE,LAST_UPDATED_DATE,LOAN_TRANSACTION_TYPE,DESCRIPTION,LOAN_TRANSACTION_AMOUNT,PAYMENT_FLAG,LOAN_PRINCIPAL,LOAN_INTEREST,STARTING_BALANCE,ENDING_BALANCE,POSTCHARGEOFFEVENT,CHARGEOFFEVENTIND,LOAN_REVERSED,LOAN_REJECTED,LOAN_CLEARED,ORIGINATION_DATE,LOAN_AMOUNT,TERM,INTEREST_RATE,LOAN_CLOSED_DATE,CHARGE_OFF_DATE
Attachment_B,8577387,128755,6e6a438d-34ba-44b5-aafc-874117496c2e,128755,2025-05-15,2025-05-16,,2025-05-15T21:02:10,Payment,Regular: Transaction ID 8577387,574.96,True,300.64,274.32,15000.00,14699.36,False,False,0,0,1,2025-04-16,15000.0000,36.00000,22.2500,,
Attachment_B,8636037,128755,6e6a438d-34ba-44b5-aafc-874117496c2e,128755,2025-06-13,2025-06-16,,2025-06-13T21:04:32,Payment,Regular: Transaction ID 8636037,574.96,True,297.18,277.78,14699.36,14402.18,False,False,0,0,1,2025-04-16,15000.0000,36.00000,22.2500,,
Attachment_B,8587540,128905,71d48bb2-11a9-4538-8d02-f19d2656f6de,128905,2025-05-20,2025-05-21,,2025-05-20T21:01:32,Payment,Regular: Transaction ID 8587540,748.58,True,411.59,336.99,20000.00,19588.41,False,False,0,0,1,2025-04-21,20000.0000,36.00000,20.5000,,
Attachment_B,8647406,128905,71d48bb2-11a9-4538-8d02-f19d2656f6de,128905,2025-06-20,2025-06-21,,2025-06-20T21:01:10,Payment,Regular: Transaction ID 8647406,748.58,True,407.53,341.05,19588.41,19180.88,False,False,0,0,1,2025-04-21,20000.0000,36.00000,20.5000,,
Attachment_B,8645237,356637,7242da38-d3a5-4f6c-8da6-d40660e68a55,356637,2025-06-19,2025-06-20,,2025-06-19T21:00:28,Payment,Regular: Transaction ID 8645237,754.41,True,396.85,357.56,20000.00,19603.15,False,False,0,0,1,2025-05-20,20000.0000,36.00000,21.0500,,
Attachment_B,8609239,267555,755bf378-3e29-4821-98ce-a93a27619236,267555,2025-05-31,2025-06-01,,2025-05-31T21:00:33,Payment,Regular: Transaction ID 8609239,492.94,True,369.78,123.16,10000.00,9630.22,False,False,0,0,1,2025-05-05,10000.0000,24.00000,16.6500,,
Attachment_B,8665255,267555,755bf378-3e29-4821-98ce-a93a27619236,267555,2025-06-30,2025-07-01,,2025-06-30T21:02:25,Payment,Regular: Transaction ID 8665255,492.94,True,361.15,131.79,9630.22,9269.07,False,False,0,0,1,2025-05-05,10000.0000,24.00000,16.6500,,
Attachment_B,8636859,203802,7a5c5d4e-f6d1-41ba-9047-0383a98998da,203802,2025-06-15,2025-06-16,,2025-06-15T21:00:16,Payment,Regular: Transaction ID 8636859,546.90,True,0.00,546.90,20000.00,20000.00,False,False,0,0,1,2025-04-30,20000.0000,60.00000,21.5000,,
Attachment_B,8087521,128804,7f335e64-7582-4729-be36-5f8d4c18d232,128804,2025-05-09,2025-05-10,,2025-05-09T21:02:47,Payment,Regular: Transaction ID 8087521,308.39,True,228.99,79.40,6000.00,5771.01,False,False,0,0,1,2025-04-17,6000.0000,24.00000,21.0000,,
Attachment_B,8623121,128804,7f335e64-7582-4729-be36-5f8d4c18d232,128804,2025-06-09,2025-06-10,,2025-06-09T21:01:08,Payment,Regular: Transaction ID 8623121,308.39,True,205.46,102.93,5771.01,5565.55,False,False,0,0,1,2025-04-17,6000.0000,24.00000,21.0000,,
